السنة,الربع,المنطقة,النشاط الاقتصادي,عدد المنشآت متناهية الصغر,عدد المنشآت الصغيرة,عدد المنشآت المتوسطة,عدد المنشآت الكبيرة,عدد المنشآت
2023,1,منطقة مكة المكرمة,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",34011,6140,394,40,40585
2023,1,منطقة مكة المكرمة,"تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية",15126,4868,358,36,20388
2023,1,منطقة مكة المكرمة,"تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية",11488,1633,77,20,13218
2023,1,منطقة مكة المكرمة,تجميع المياه ومعالجتها وتوصيلها,385,66,11,0,462
2023,1,منطقة مكة المكرمة,تشييد المباني,22418,5237,474,92,28221
2023,1,منطقة مكة المكرمة,تعدين الفحم والليغنيت,9,2,0,0,11
2023,1,منطقة مكة المكرمة,تعدين ركازات الفلزات,39,6,4,0,49
2023,1,منطقة مكة المكرمة,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,8,10,5,1,24
2023,1,منطقة مكة المكرمة,توصيل الكهرباء والغاز والبخار وتكييف الهواء,65,29,5,2,101
2023,1,منطقة مكة المكرمة,"صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر",703,129,13,2,847
2023,1,منطقة مكة المكرمة,صُنع المشروبات,98,41,25,7,171
2023,1,منطقة مكة المكرمة,صُنع الملبوسات,2980,198,21,2,3201
2023,1,منطقة مكة المكرمة,صُنع المنتجات الجلدية والمنتجات ذات الصلة,30,8,1,0,39
2023,1,منطقة مكة المكرمة,صُنع المنتجات الغذائية,1492,439,110,35,2076
2023,1,منطقة مكة المكرمة,صُنع المنسوجات,282,56,9,2,349
2023,1,منطقة مكة المكرمة,صُنع المواد الكيميائية والمنتجات الكيميائية,250,206,77,4,537
2023,1,منطقة مكة المكرمة,صُنع الورق ومنتجات الورق,58,82,32,4,176
